티커,종목명,순매수거래대금
035420,NAVER,31297003000
080220,제주반도체,26605572600
066970,엘앤에프,24008955900
009150,삼성전기,19038556000
373220,LG에너지솔루션,17471776750
006400,삼성SDI,15930127250
064350,현대로템,14728816600
491000,리브스메드,14421731350
016360,삼성증권,11684001500
108490,로보티즈,10680309500
000270,기아,10670284600
352820,하이브,10190574000
105560,KB금융,10082343250
028300,HLB,9688413700
032830,삼성생명,9148740200
011070,LG이노텍,8626641500
323280,태성,7930529300
131970,두산테스나,7545113550
226950,올릭스,7415364550
018260,삼성에스디에스,7174570850
030000,제일기획,6688652775
237690,에스티팜,6589900700
015760,한국전력,5624695100
240810,원익IPS,5457155300
007810,코리아써키트,5089919575
462350,이노스페이스,5077355680
009540,HD한국조선해양,4839555500
028260,삼성물산,4732222500
000990,DB하이텍,4596114900
017960,한국카본,4593725550
000150,두산,4564449000
476830,알지노믹스,4514011000
028050,삼성E&A,4480155300
000720,현대건설,4389441000
417500,제이아이테크,4157648105
486990,노타,4105837725
499790,GS피앤엘,3978526150
031330,에스에이엠티,3801545044
071970,HD현대마린엔진,3756560000
267250,HD현대,3714521250
036570,엔씨소프트,3684702800
001040,CJ,3624956300
034730,SK,3547180750
086790,하나금융지주,3534540150
139480,이마트,3371448600
192820,코스맥스,3345970500
017670,SK텔레콤,3335481750
039020,이건홀딩스,3232685660
445680,큐리옥스바이오시스템즈,3030965900
353200,대덕전자,2995958475
358570,지아이이노베이션,2855545965
213420,덕산네오룩스,2786111325
005387,현대차2우B,2750163500
047040,대우건설,2707385484
051915,LG화학우,2618020850
083450,GST,2552356450
020150,롯데에너지머티리얼즈,2418604275
195940,HK이노엔,2411191525
012630,HDC,2366745110
161390,한국타이어앤테크놀로지,2333901150
336570,원텍,2168276540
006360,GS건설,2138305945
294870,HDC현대산업개발,2100937500
179900,유티아이,2091028060
402340,SK스퀘어,2077329000
010060,OCI홀딩스,2044943300
482630,삼양엔씨켐,2036468250
069620,대웅제약,2010400100
304360,에스바이오메딕스,1955847425
419530,SAMG엔터,1955795400
089970,브이엠,1869465850
168360,펨트론,1824556575
008250,이건산업,1817028425
052690,한전기술,1781534950
086900,메디톡스,1714384950
082920,비츠로셀,1648775550
443060,HD현대마린솔루션,1607594000
281820,케이씨텍,1597227675
448900,한국피아이엠,1591829675
034230,파라다이스,1585747690
332570,PS일렉트로닉스,1551723570
124500,아이티센글로벌,1526607250
141080,리가켐바이오,1489386850
271560,오리온,1476735600
066570,LG전자,1453876850
105840,우진,1452027365
000815,삼성화재우,1435872750
037270,YG PLUS,1430991570
222800,심텍,1427199450
011200,HMM,1388324675
347700,스피어,1346128440
011780,금호석유화학,1313836700
041510,에스엠,1298386800
000100,유한양행,1260312000
023530,롯데쇼핑,1257984500
039030,이오테크닉스,1214493500
299170,더블유에스아이,1206400218
099320,쎄트렉아이,1198808000
001250,GS글로벌,1175714135
0120G0,삼양바이오팜,1138281700
