티커,종목명,순매수거래대금
005930,삼성전자,-148878858500
000660,SK하이닉스,-93082661500
005935,삼성전자우,-69896688500
347850,디앤디파마텍,-44389401950
042700,한미반도체,-33278679350
196170,알테오젠,-32649797000
0126Z0,삼성에피스홀딩스,-32152906500
204320,HL만도,-26306283050
005490,POSCO홀딩스,-22131062000
012330,현대모비스,-21400667250
307950,현대오토에버,-20390587250
476060,온코닉테라퓨틱스,-19189035050
090710,휴림로봇,-18547342060
319400,현대무벡스,-18494122115
086520,에코프로,-17909644200
329180,HD현대중공업,-17578725500
034020,두산에너빌리티,-14945543800
087010,펩트론,-14885987250
103140,풍산,-14099483000
424870,이뮨온시아,-14021127940
058610,에스피지,-13681396000
047810,한국항공우주,-13588167500
001440,대한전선,-13118029425
090360,로보스타,-12618147100
012450,한화에어로스페이스,-12474218500
298380,에이비엘바이오,-12159086900
437730,삼현,-11980062700
298040,효성중공업,-11799532000
022100,포스코DX,-10904528150
267270,HD현대건설기계,-10326370100
125490,한라캐스트,-9989949825
049630,재영솔루텍,-9840481421
079550,LIG넥스원,-9761681000
007660,이수페타시스,-9671843000
068270,셀트리온,-9629005000
003670,포스코퓨처엠,-9447008200
030530,원익홀딩스,-8650687775
117730,티로보틱스,-7449500610
490470,세미파이브,-7367458625
056080,유진로봇,-7200119640
489790,한화비전,-6983563675
003230,삼양식품,-6656401500
232680,라온테크,-6416771285
006280,녹십자,-6310108000
003490,대한항공,-6102340225
005380,현대차,-6022776250
277810,레인보우로보틱스,-5932530250
089030,테크윙,-5609449275
348340,뉴로메카,-5604246825
455900,엔젤로보틱스,-5585027725
067310,하나마이크론,-5549401800
160190,하이젠알앤엠,-5507232650
138040,메리츠금융지주,-5389369800
010120,LS ELECTRIC,-5373834000
017800,현대엘리베이터,-4958999550
214450,파마리서치,-4794388000
006800,미래에셋증권,-4665464525
071050,한국금융지주,-4514924200
217590,티엠씨,-4420336365
278470,에이피알,-4219892500
078600,대주전자재료,-4191460550
270660,에브리봇,-3955160325
088980,맥쿼리인프라,-3798341715
389470,인벤티지랩,-3755495750
259960,크래프톤,-3710142250
457190,이수스페셜티케미컬,-3696228250
267260,HD현대일렉트릭,-3546176500
036460,한국가스공사,-3502296750
062040,산일전기,-3475386900
247540,에코프로비엠,-3323323100
397030,에이프릴바이오,-3314735850
950160,코오롱티슈진,-3314666700
318060,그래피,-3293071025
417200,LS머트리얼즈,-3287760775
078930,GS,-3274443550
103590,일진전기,-3199358000
010130,고려아연,-3122491500
456160,지투지바이오,-3099082150
272210,한화시스템,-3087781700
180640,한진칼,-2975046100
010140,삼성중공업,-2969810400
035720,카카오,-2907912000
039200,오스코텍,-2826141925
249420,일동제약,-2802423775
095340,ISC,-2769982250
127120,제이에스링크,-2757879230
042520,한스바이오메드,-2501900850
454910,두산로보틱스,-2450449900
005830,DB손해보험,-2439822700
102120,어보브반도체,-2435527260
060280,큐렉소,-2405088705
394280,오픈엣지테크놀로지,-2398273200
083650,비에이치아이,-2369875100
033240,자화전자,-2339484100
394800,쓰리빌리언,-2322660380
175330,JB금융지주,-2303529625
388720,유일로보틱스,-2294424200
466100,클로봇,-2247712650
290650,엘앤씨바이오,-2240122350
336260,두산퓨얼셀,-2236490425
