티커,종목명,순매수거래대금
080220,제주반도체,-31415889775
035420,NAVER,-30673135500
352820,하이브,-22869022750
064350,현대로템,-17343482050
491000,리브스메드,-15136077275
000270,기아,-14861516650
402340,SK스퀘어,-14445554000
028300,HLB,-12931660000
122870,와이지엔터테인먼트,-11904649450
041510,에스엠,-11735922100
007810,코리아써키트,-10558081025
476830,알지노믹스,-9377481500
240810,원익IPS,-8492429400
131970,두산테스나,-8436848250
005380,현대차,-7777743500
138040,메리츠금융지주,-7584814100
034730,SK,-7148936750
323280,태성,-7100635775
066570,LG전자,-7066649350
226950,올릭스,-6895730600
005387,현대차2우B,-5456099750
489790,한화비전,-5221769400
006800,미래에셋증권,-5193540100
035900,JYP Ent.,-5042044000
462350,이노스페이스,-4714111495
294870,HDC현대산업개발,-4478648050
017670,SK텔레콤,-4332069800
035250,강원랜드,-4242657215
388210,씨엠티엑스,-4145405100
036570,엔씨소프트,-3782732700
083450,GST,-3774611900
089970,브이엠,-3733247425
000810,삼성화재,-3506358000
010950,S-Oil,-3357363050
047040,대우건설,-3348778234
128940,한미약품,-3322337000
032350,롯데관광개발,-3184197325
105560,KB금융,-3180167700
051910,LG화학,-3149937000
068270,셀트리온,-3079253850
082740,한화엔진,-3062063100
000815,삼성화재우,-2784168500
486990,노타,-2732739650
475830,오름테라퓨틱,-2659750100
031330,에스에이엠티,-2604598235
051915,LG화학우,-2599764500
009540,HD한국조선해양,-2555996750
011200,HMM,-2418519075
006360,GS건설,-2267061815
304360,에스바이오메딕스,-2252377625
179900,유티아이,-2163839970
403870,HPSP,-2152682525
353200,대덕전자,-2084915100
011070,LG이노텍,-2037283250
043260,성호전자,-2034492385
012630,HDC,-2011169750
005385,현대차우,-2001273500
010060,OCI홀딩스,-1975319400
482630,삼양엔씨켐,-1901663125
348210,넥스틴,-1898345950
419530,SAMG엔터,-1886678750
445680,큐리옥스바이오시스템즈,-1886160550
014680,한솔케미칼,-1843781250
005830,DB손해보험,-1814412400
336570,원텍,-1775872700
018260,삼성에스디에스,-1735019900
002380,KCC,-1722154500
037270,YG PLUS,-1703234670
099320,쎄트렉아이,-1653309500
036540,SFA반도체,-1649365773
081180,쎄크,-1510984905
088980,맥쿼리인프라,-1351997805
237690,에스티팜,-1329044100
005940,NH투자증권,-1307206500
332570,PS일렉트로닉스,-1302099325
441270,파인엠텍,-1247762985
001250,GS글로벌,-1185387209
168360,펨트론,-1156216555
448900,한국피아이엠,-1146412675
052020,에스티큐브,-1066272695
460940,피앤에스로보틱스,-1046777240
086790,하나금융지주,-1038997600
004170,신세계,-1010820000
054450,텔레칩스,-988580970
036620,감성코퍼레이션,-960909875
032940,원익,-929054755
357780,솔브레인,-928022500
347700,스피어,-919141505
253450,스튜디오드래곤,-906394625
079370,제우스,-889443720
484870,엠앤씨솔루션,-886514300
475150,SK이터닉스,-870917700
299170,더블유에스아이,-860712970
0009K0,에임드바이오,-842401050
120110,코오롱인더,-834428450
086900,메디톡스,-822966250
059090,미코,-799087425
086450,동국제약,-775416995
499790,GS피앤엘,-757723000
030200,KT,-748139400
