티커,종목명,순매수거래대금
005935,삼성전자우,35968438150
138040,메리츠금융지주,13028766500
352820,하이브,12991608500
122870,와이지엔터테인먼트,12596636800
402340,SK스퀘어,12336944000
012330,현대모비스,12326204500
005380,현대차,12154012500
489790,한화비전,12043019925
204320,HL만도,11863962300
041510,에스엠,10501591600
006800,미래에셋증권,9978254400
476830,알지노믹스,7637238300
066570,LG전자,6028129500
007810,코리아써키트,5550291750
388210,씨엠티엑스,5483525600
088980,맥쿼리인프라,5368351840
128940,한미약품,4964619250
079550,LIG넥스원,4916940000
491000,리브스메드,4872208725
307950,현대오토에버,4830569000
103140,풍산,4770392150
000270,기아,4577841250
080220,제주반도체,4503853950
035900,JYP Ent.,4294069200
005830,DB손해보험,4275138700
010950,S-Oil,4070547550
082740,한화엔진,3872639075
034730,SK,3790701500
475830,오름테라퓨틱,3715010750
014680,한솔케미칼,3714107750
000810,삼성화재,3710048500
017800,현대엘리베이터,3498276800
043260,성호전자,3429188480
095340,ISC,3384773000
259960,크래프톤,3361445500
240810,원익IPS,3218089700
028300,HLB,3141204200
035720,카카오,3107211400
064350,현대로템,3025514850
005387,현대차2우B,2964955750
032350,롯데관광개발,2937477800
403870,HPSP,2805829350
051910,LG화학,2669037250
039030,이오테크닉스,2449006500
078930,GS,2273325150
272210,한화시스템,2094363900
294870,HDC현대산업개발,1978663400
089970,브이엠,1977094125
005385,현대차우,1897626750
267270,HD현대건설기계,1828380000
175330,JB금융지주,1698778400
008250,이건산업,1497824195
348210,넥스틴,1492065500
001450,현대해상,1480921100
035250,강원랜드,1462947545
376300,디어유,1452677125
081180,쎄크,1421657600
000815,삼성화재우,1375899750
319660,피에스케이,1371688975
083450,GST,1339764700
039490,키움증권,1310168000
005300,롯데칠성,1299381800
473980,노머스,1287462725
011200,HMM,1283356125
012450,한화에어로스페이스,1271609500
049070,인탑스,1235487015
003490,대한항공,1232720325
004020,현대제철,1200644300
394800,쓰리빌리언,1150040150
017670,SK텔레콤,1143254700
138930,BNK금융지주,1132369700
357780,솔브레인,1086395000
241560,두산밥캣,1068219000
322310,오로스테크놀로지,1018873300
002380,KCC,1010188000
005490,POSCO홀딩스,1007825750
214320,이노션,996585765
074600,원익QnC,985312750
004170,신세계,981885750
120110,코오롱인더,968550750
474650,링크솔루션,938329950
424870,이뮨온시아,934126310
030530,원익홀딩스,914148100
032940,원익,910130945
035420,NAVER,896871750
180640,한진칼,867708400
009830,한화솔루션,857536575
030200,KT,834370200
058970,엠로,813260200
323410,카카오뱅크,788461725
005940,NH투자증권,785881700
001120,LX인터내셔널,777782225
300080,플리토,742688550
131970,두산테스나,733553700
047040,대우건설,711508575
001800,오리온홀딩스,705642125
089030,테크윙,698727625
121600,나노신소재,638736525
084110,휴온스글로벌,636053850
099320,쎄트렉아이,616902900
