티커,종목명,순매수거래대금
000660,SK하이닉스,-87472117000
373220,LG에너지솔루션,-44869176500
005930,삼성전자,-33616846650
066970,엘앤에프,-32246397950
298380,에이비엘바이오,-26771003700
006400,삼성SDI,-25498140250
016360,삼성증권,-25315661750
086520,에코프로,-22977615550
000720,현대건설,-20932431250
196170,알테오젠,-20438416250
003670,포스코퓨처엠,-20198270850
247540,에코프로비엠,-20133791600
009150,삼성전기,-19801400500
042700,한미반도체,-16864077400
007660,이수페타시스,-13341377700
010130,고려아연,-13071665500
108490,로보티즈,-12431434000
015760,한국전력,-12315234400
032830,삼성생명,-11273738650
058610,에스피지,-11211911750
000150,두산,-11146526000
347850,디앤디파마텍,-10982171700
222800,심텍,-10271614800
310210,보로노이,-10150344500
034020,두산에너빌리티,-9906229050
298040,효성중공업,-9859694000
003230,삼양식품,-7582935000
139480,이마트,-7551295900
030000,제일기획,-7361625475
217590,티엠씨,-7302146455
028260,삼성물산,-7294230750
207940,삼성바이오로직스,-7153430500
047050,포스코인터내셔널,-7057620700
068270,셀트리온,-6754478450
105560,KB금융,-6667694550
011070,LG이노텍,-6596188750
087010,펩트론,-5710009250
096770,SK이노베이션,-5582754150
018260,삼성에스디에스,-5446660850
192820,코스맥스,-5391873000
047810,한국항공우주,-5368731850
213420,덕산네오룩스,-5345440000
358570,지아이이노베이션,-5238197355
086280,현대글로비스,-4874568550
237690,에스티팜,-4632677700
000100,유한양행,-4396773200
028050,삼성E&A,-4221765175
277810,레인보우로보틱스,-4158430250
141080,리가켐바이오,-4100082300
010120,LS ELECTRIC,-3948015250
229640,LS에코에너지,-3914551300
017960,한국카본,-3823237325
058470,리노공업,-3805501150
000990,DB하이텍,-3726720550
042660,한화오션,-3568540550
267250,HD현대,-3562523650
494120,큐리오시스,-3496265350
001040,CJ,-3401470150
290650,엘앤씨바이오,-3351161150
084370,유진테크,-3338010000
475400,씨메스,-3336207425
456160,지투지바이오,-3300837250
499790,GS피앤엘,-3061845900
278470,에이피알,-3013777750
067310,하나마이크론,-3012363400
232140,와이씨,-2995640445
036930,주성엔지니어링,-2849287475
267260,HD현대일렉트릭,-2839657000
097950,CJ제일제당,-2766364250
062040,산일전기,-2762834900
020150,롯데에너지머티리얼즈,-2750438525
055550,신한지주,-2716489800
200710,에이디테크놀로지,-2703786875
010140,삼성중공업,-2614519950
071970,HD현대마린엔진,-2516943600
086790,하나금융지주,-2506025850
127120,제이에스링크,-2376746595
214450,파마리서치,-2272878750
105840,우진,-2212475385
005070,코스모신소재,-2190394100
161390,한국타이어앤테크놀로지,-2163897500
069620,대웅제약,-2032411650
195940,HK이노엔,-2024385625
282330,BGF리테일,-1976469250
009540,HD한국조선해양,-1941717250
012210,삼미금속,-1902334550
071050,한국금융지주,-1855219050
255220,SG,-1845960547
036460,한국가스공사,-1843200400
052690,한전기술,-1840888200
051600,한전KPS,-1824771250
031980,피에스케이홀딩스,-1804316400
082920,비츠로셀,-1749449335
319400,현대무벡스,-1716270745
005290,동진쎄미켐,-1715821050
098460,고영,-1697773925
009420,한올바이오파마,-1637466375
009450,경동나비엔,-1624851500
443060,HD현대마린솔루션,-1571870550
031440,신세계푸드,-1565032000
